Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-08-21 09:15:00+05:30,8078.0,8108.5,8039.0,8056.5,7759,0.0,0.0
2026-08-21 09:30:00+05:30,8056.5,8075.0,8042.0,8042.5,10322,0.0,0.0
2026-08-21 09:45:00+05:30,8045.0,8054.5,8040.0,8044.0,5831,0.0,0.0
2026-08-21 10:00:00+05:30,8044.0,8046.0,8013.5,8025.0,13739,0.0,0.0
2026-08-21 10:15:00+05:30,8025.0,8025.0,8008.0,8012.0,13756,0.0,0.0
2026-08-21 10:30:00+05:30,8012.0,8012.5,7995.5,8004.5,16767,0.0,0.0
2026-08-21 10:45:00+05:30,8004.5,8019.0,8004.0,8008.5,6321,0.0,0.0
2026-08-21 11:00:00+05:30,8011.5,8024.5,8009.0,8017.0,5655,0.0,0.0
2026-08-21 11:15:00+05:30,8017.0,8017.5,8000.0,8004.0,5638,0.0,0.0
2026-08-21 11:30:00+05:30,8003.0,8004.0,7981.0,7987.5,19484,0.0,0.0
2026-08-21 11:45:00+05:30,7990.0,8002.0,7988.5,8000.0,9243,0.0,0.0
2026-08-21 12:00:00+05:30,8000.0,8001.5,7985.0,7993.5,16203,0.0,0.0
2026-08-21 12:15:00+05:30,7994.5,8010.0,7989.5,8005.5,13824,0.0,0.0
2026-08-21 12:30:00+05:30,8005.0,8008.5,8000.0,8005.5,19518,0.0,0.0
2026-08-21 12:45:00+05:30,8005.5,8010.0,8002.0,8007.5,7549,0.0,0.0
2026-08-21 13:00:00+05:30,8006.0,8010.0,8004.0,8009.5,5870,0.0,0.0
2026-08-21 13:15:00+05:30,8008.5,8009.5,8006.0,8008.5,5611,0.0,0.0
2026-08-21 13:30:00+05:30,8009.5,8010.0,7998.5,8000.0,8153,0.0,0.0
2026-08-21 13:45:00+05:30,8000.0,8000.5,7988.0,7996.5,6130,0.0,0.0
2026-08-21 14:00:00+05:30,7996.5,8004.5,7991.5,7998.5,7696,0.0,0.0
2026-08-21 14:15:00+05:30,7998.5,8010.0,7997.5,8001.5,16352,0.0,0.0
2026-08-21 14:30:00+05:30,8002.0,8006.5,7995.0,8000.0,11815,0.0,0.0
2026-08-21 14:45:00+05:30,8001.5,8009.5,8000.0,8007.5,21436,0.0,0.0
2026-08-21 15:00:00+05:30,8008.0,8010.0,7999.0,7999.0,33844,0.0,0.0
2026-08-21 15:15:00+05:30,8000.0,8010.0,8000.0,8010.0,13448,0.0,0.0
2026-08-24 09:15:00+05:30,8019.5,8019.5,7974.0,7974.5,5114,0.0,0.0
2026-08-24 09:30:00+05:30,7974.0,7991.0,7970.0,7987.0,3729,0.0,0.0
2026-08-24 09:45:00+05:30,7985.0,8019.5,7985.0,8002.5,7159,0.0,0.0
2026-08-24 10:00:00+05:30,8001.5,8006.5,7990.5,8003.0,4539,0.0,0.0
2026-08-24 10:15:00+05:30,8006.5,8048.0,8006.5,8045.5,10986,0.0,0.0
2026-08-24 10:30:00+05:30,8048.5,8065.0,8047.5,8065.0,8164,0.0,0.0
2026-08-24 10:45:00+05:30,8065.0,8075.0,8053.5,8053.5,6715,0.0,0.0
2026-08-24 11:00:00+05:30,8055.0,8062.0,8044.0,8053.5,2317,0.0,0.0
2026-08-24 11:15:00+05:30,8052.5,8060.0,8047.0,8048.5,2490,0.0,0.0
2026-08-24 11:30:00+05:30,8049.5,8060.0,8032.5,8054.5,4912,0.0,0.0
2026-08-24 11:45:00+05:30,8054.5,8059.5,8050.5,8054.5,1798,0.0,0.0
2026-08-24 12:00:00+05:30,8055.0,8058.5,8050.5,8052.0,1209,0.0,0.0
2026-08-24 12:15:00+05:30,8053.0,8058.0,8051.5,8054.0,1844,0.0,0.0
2026-08-24 12:30:00+05:30,8053.0,8055.0,8050.0,8050.0,2198,0.0,0.0
2026-08-24 12:45:00+05:30,8053.0,8054.0,8049.0,8052.5,6687,0.0,0.0
2026-08-24 13:00:00+05:30,8053.0,8057.0,8040.5,8044.0,19570,0.0,0.0
2026-08-24 13:15:00+05:30,8044.0,8049.5,8031.5,8041.5,16297,0.0,0.0
2026-08-24 13:30:00+05:30,8041.5,8045.5,8035.5,8044.0,5651,0.0,0.0
2026-08-24 13:45:00+05:30,8043.5,8044.0,8022.5,8023.0,12614,0.0,0.0
2026-08-24 14:00:00+05:30,8023.5,8024.0,8019.0,8023.5,2480,0.0,0.0
2026-08-24 14:15:00+05:30,8023.0,8026.5,8016.0,8019.5,3305,0.0,0.0
2026-08-24 14:30:00+05:30,8020.0,8048.0,8018.5,8035.0,10248,0.0,0.0
2026-08-24 14:45:00+05:30,8036.5,8042.0,8023.0,8033.5,23750,0.0,0.0
2026-08-24 15:00:00+05:30,8033.5,8047.0,8010.5,8047.0,36920,0.0,0.0
2026-08-25 09:15:00+05:30,8016.0,8016.5,7990.5,7997.0,4154,0.0,0.0
2026-08-25 09:30:00+05:30,7999.5,8025.0,7996.0,8014.5,7988,0.0,0.0
2026-08-25 09:45:00+05:30,8011.0,8035.5,8011.0,8023.0,3745,0.0,0.0
2026-08-25 10:00:00+05:30,8020.0,8024.5,8005.0,8007.5,2701,0.0,0.0
2026-08-25 10:15:00+05:30,8008.0,8023.5,7995.5,8000.0,3536,0.0,0.0
2026-08-25 10:30:00+05:30,8000.5,8002.5,7986.0,7995.0,4105,0.0,0.0
2026-08-25 10:45:00+05:30,7994.5,7999.5,7992.0,7994.5,5744,0.0,0.0
2026-08-25 11:00:00+05:30,7995.0,8009.5,7994.0,8008.0,3769,0.0,0.0
2026-08-25 11:15:00+05:30,8007.5,8009.5,7997.0,8004.5,6670,0.0,0.0
2026-08-25 11:30:00+05:30,8002.0,8006.0,7993.0,8000.5,7665,0.0,0.0
2026-08-25 11:45:00+05:30,8000.0,8008.0,7996.5,8002.0,6904,0.0,0.0
2026-08-25 12:00:00+05:30,8002.5,8009.0,8000.0,8007.5,1713,0.0,0.0
2026-08-25 12:15:00+05:30,8007.5,8011.0,7998.5,8008.0,4655,0.0,0.0
2026-08-25 12:30:00+05:30,8007.0,8016.0,8003.5,8005.0,11575,0.0,0.0
2026-08-25 12:45:00+05:30,8005.0,8008.0,8000.0,8003.0,3089,0.0,0.0
2026-08-25 13:00:00+05:30,8001.5,8014.5,7999.0,8009.0,4447,0.0,0.0
2026-08-25 13:15:00+05:30,8009.0,8018.5,8007.5,8015.0,2506,0.0,0.0
2026-08-25 13:30:00+05:30,8015.0,8024.5,8015.0,8020.0,6619,0.0,0.0
2026-08-25 13:45:00+05:30,8022.0,8040.5,8019.5,8038.5,6721,0.0,0.0
2026-08-25 14:00:00+05:30,8039.0,8045.0,8036.0,8043.0,6793,0.0,0.0
2026-08-25 14:15:00+05:30,8040.0,8046.5,8030.5,8036.0,17762,0.0,0.0
2026-08-25 14:30:00+05:30,8036.5,8059.5,8031.5,8057.0,45920,0.0,0.0
2026-08-25 14:45:00+05:30,8056.0,8068.0,8050.0,8057.0,33699,0.0,0.0
2026-08-25 15:00:00+05:30,8056.0,8058.5,8050.0,8050.0,15551,0.0,0.0
2026-08-25 15:15:00+05:30,8055.0,8055.0,8055.0,8055.0,22038,0.0,0.0
2026-08-26 09:15:00+05:30,8071.5,8080.5,8036.0,8052.0,10488,0.0,0.0
2026-08-26 09:30:00+05:30,8054.5,8061.5,8045.0,8056.0,7786,0.0,0.0
