Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-08-27 00:00:00+05:30,1383.6589639425404,1384.9069426383048,1375.3224906294179,1380.9632568359375,1167406,0.0,0.0
2024-08-28 00:00:00+05:30,1386.8037969738314,1419.6504964350013,1380.314308212836,1413.4605712890625,6532773,0.0,0.0
2024-08-29 00:00:00+05:30,1411.9130923880437,1420.7488788264588,1402.9776139040196,1415.1578369140625,3316387,0.0,0.0
2024-08-30 00:00:00+05:30,1419.850349701281,1427.6876315558675,1413.261046545607,1422.9453125,2792988,0.0,0.0
2024-09-02 00:00:00+05:30,1422.9452253875913,1448.9031807358301,1422.9452253875913,1446.706787109375,4024426,0.0,0.0
2024-09-03 00:00:00+05:30,1447.6552507229312,1449.5522026674273,1431.5813098998324,1434.376708984375,2351018,0.0,0.0
2024-09-04 00:00:00+05:30,1414.7085576444788,1436.9225769864615,1414.7085576444788,1432.0804443359375,2919356,0.0,0.0
2024-09-05 00:00:00+05:30,1440.6665939741072,1441.6649769221142,1416.605589301722,1420.59912109375,3427784,0.0,0.0
2024-09-06 00:00:00+05:30,1424.143246153261,1435.874245287548,1399.2336414215365,1407.0709228515625,2608515,0.0,0.0
2024-09-09 00:00:00+05:30,1407.0709693261574,1428.6859843089085,1397.8359271494578,1425.7906494140625,1802343,0.0,0.0
2024-09-10 00:00:00+05:30,1426.5893669576687,1436.1738185357754,1418.302740041074,1433.2286376953125,2414043,0.0,0.0
2024-09-11 00:00:00+05:30,1433.078843748822,1436.6230299317333,1415.5073290256014,1418.9017333984375,2622902,0.0,0.0
2024-09-12 00:00:00+05:30,1422.8454704629926,1444.1609218446365,1417.8535557659839,1441.0159912109375,2437399,0.0,0.0
2024-09-13 00:00:00+05:30,1447.655287890155,1468.5713620936071,1440.0176338932542,1461.6826171875,2999055,0.0,0.0
2024-09-16 00:00:00+05:30,1467.572914037405,1471.5664456889215,1458.7372496330083,1467.822509765625,1495683,0.0,0.0
2024-09-17 00:00:00+05:30,1475.6099450739775,1481.1010510942124,1459.885414197851,1463.978759765625,1866702,0.0,0.0
2024-09-18 00:00:00+05:30,1467.6228982712485,1486.3425780961368,1458.7872337684844,1477.8563232421875,3966006,0.0,0.0
2024-09-19 00:00:00+05:30,1492.5324557735414,1495.5775723435659,1472.514951910981,1482.3489990234375,3861906,0.0,0.0
2024-09-20 00:00:00+05:30,1485.5938322574727,1489.5373961678597,1470.8177158218734,1477.806396484375,5335400,0.0,0.0
2024-09-23 00:00:00+05:30,1487.790222619199,1488.439195910968,1450.700393543024,1462.7308349609375,4610747,0.0,0.0
2024-09-24 00:00:00+05:30,1467.7226819839125,1471.7162135977032,1443.661678385405,1445.9580078125,3893140,0.0,0.0
2024-09-25 00:00:00+05:30,1447.6552620742336,1453.645559710403,1429.9339649005663,1437.1722412109375,3012173,0.0,0.0
2024-09-26 00:00:00+05:30,1442.6633302852867,1454.94348904311,1434.9758304924485,1450.350830078125,3388674,0.0,0.0
2024-09-27 00:00:00+05:30,1454.6439826352535,1478.6051738385795,1451.6488337348376,1460.334716796875,4708951,0.0,0.0
2024-09-30 00:00:00+05:30,1464.6278091625088,1472.4152450360584,1434.67632022258,1445.2591552734375,2888962,0.0,0.0
2024-10-01 00:00:00+05:30,1447.6552921989473,1447.9548558361564,1402.3786493313091,1407.42041015625,3377999,0.0,0.0
2024-10-03 00:00:00+05:30,1401.729581381733,1410.4154637992501,1379.815125635649,1385.505859375,2081630,0.0,0.0
2024-10-04 00:00:00+05:30,1381.8119021355537,1408.6683046596895,1378.6170037303232,1380.61376953125,2178195,0.0,0.0
2024-10-07 00:00:00+05:30,1385.755476762813,1391.7957421073781,1336.0359591787858,1348.66552734375,3878973,0.0,0.0
2024-10-08 00:00:00+05:30,1355.654238393663,1368.7829983100237,1341.3774356050617,1357.3515625,2429248,0.0,0.0
2024-10-09 00:00:00+05:30,1366.7861768240118,1369.2821340497678,1333.3903178925605,1339.380615234375,5269772,0.0,0.0
2024-10-10 00:00:00+05:30,1347.8169897501077,1359.7975852145532,1342.126255653664,1354.2066650390625,1673393,0.0,0.0
2024-10-11 00:00:00+05:30,1357.9005626607998,1369.0825243036245,1336.8347077717647,1345.4207763671875,2755874,0.0,0.0
2024-10-14 00:00:00+05:30,1352.409541085551,1369.2822375819985,1346.1198015248217,1368.23388671875,1381439,0.0,0.0
2024-10-15 00:00:00+05:30,1368.782983942314,1372.227356268714,1347.2677832573663,1358.6993408203125,2775029,0.0,0.0
2024-10-16 00:00:00+05:30,1352.80880714197,1356.1533654271116,1338.9312606867431,1344.1229248046875,2126519,0.0,0.0
2024-10-17 00:00:00+05:30,1345.820237950817,1352.06013148731,1334.838025326589,1345.1712646484375,1353852,0.0,0.0
2024-10-18 00:00:00+05:30,1342.825049525799,1352.7589109943137,1328.8476884154934,1345.0714111328125,3676670,0.0,0.0
2024-10-21 00:00:00+05:30,1349.8637443524165,1351.7605744985055,1297.4984844127987,1306.134521484375,5862686,0.0,0.0
2024-10-22 00:00:00+05:30,1306.9831146625802,1310.078077478444,1269.1943438247613,1272.289306640625,4183194,0.0,0.0
2024-10-23 00:00:00+05:30,1272.2892259041303,1282.8222142620687,1264.4519445034643,1272.2393798828125,4860497,0.0,0.0
2024-10-24 00:00:00+05:30,1273.9366029732496,1283.8704642551054,1256.1154922670546,1277.9801025390625,2441333,0.0,0.0
2024-10-25 00:00:00+05:30,1161.1193631107867,1164.8632991483323,1023.841708400784,1039.9156494140625,56935420,0.0,0.0
2024-10-28 00:00:00+05:30,1049.6998340245257,1082.8960663536684,1029.3327979352205,1053.0943603515625,11099823,0.0,0.0
2024-10-29 00:00:00+05:30,1057.087946356619,1057.087946356619,1016.4536860090054,1036.4713134765625,7951124,0.0,0.0
2024-10-30 00:00:00+05:30,1035.9720921536493,1067.6707508073239,1028.5840339511226,1054.6917724609375,8907271,0.0,0.0
2024-10-31 00:00:00+05:30,1052.2955561016367,1065.1747196353374,1042.3117272961183,1053.8929443359375,4509824,0.0,0.0
2024-11-01 00:00:00+05:30,1059.733509528637,1068.1699183888295,1056.8382965375395,1060.7818603515625,441083,0.0,0.0
2024-11-04 00:00:00+05:30,1065.2746106843074,1068.7689510192606,1052.3954462180388,1062.079833984375,5143749,0.0,0.0
2024-11-05 00:00:00+05:30,1061.9798256732804,1090.633487587028,1060.2826235185073,1088.337158203125,4840541,0.0,0.0
2024-11-06 00:00:00+05:30,1090.5336823846353,1096.823421484548,1066.522525067373,1075.9073486328125,7153974,0.0,0.0
2024-11-07 00:00:00+05:30,1084.243795471709,1084.243795471709,1049.3003950651623,1055.091064453125,4901367,0.0,0.0
