Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-08-21 09:15:00+05:30,8724.5,8743.0,8657.5,8662.0,8563,0.0,0.0
2026-08-21 09:30:00+05:30,8663.0,8671.5,8650.0,8660.0,9664,0.0,0.0
2026-08-21 09:45:00+05:30,8661.0,8673.5,8656.5,8661.5,3984,0.0,0.0
2026-08-21 10:00:00+05:30,8663.5,8690.0,8663.5,8690.0,4003,0.0,0.0
2026-08-21 10:15:00+05:30,8690.5,8693.0,8677.5,8681.0,4297,0.0,0.0
2026-08-21 10:30:00+05:30,8680.5,8681.5,8670.5,8675.0,8433,0.0,0.0
2026-08-21 10:45:00+05:30,8675.0,8689.5,8672.0,8675.5,5615,0.0,0.0
2026-08-21 11:00:00+05:30,8678.5,8687.0,8671.0,8674.0,3831,0.0,0.0
2026-08-21 11:15:00+05:30,8676.5,8687.0,8675.0,8682.5,2131,0.0,0.0
2026-08-21 11:30:00+05:30,8679.0,8683.0,8660.5,8668.0,3178,0.0,0.0
2026-08-21 11:45:00+05:30,8670.5,8671.5,8660.5,8661.0,2795,0.0,0.0
2026-08-21 12:00:00+05:30,8661.0,8670.0,8661.0,8669.5,3531,0.0,0.0
2026-08-21 12:15:00+05:30,8670.0,8671.0,8660.0,8663.0,5933,0.0,0.0
2026-08-21 12:30:00+05:30,8663.0,8670.0,8663.0,8667.0,1943,0.0,0.0
2026-08-21 12:45:00+05:30,8668.0,8670.0,8662.0,8669.0,2341,0.0,0.0
2026-08-21 13:00:00+05:30,8670.0,8670.5,8664.5,8665.0,5166,0.0,0.0
2026-08-21 13:15:00+05:30,8665.0,8669.5,8656.5,8657.5,2428,0.0,0.0
2026-08-21 13:30:00+05:30,8663.5,8663.5,8650.5,8652.0,4187,0.0,0.0
2026-08-21 13:45:00+05:30,8651.5,8658.0,8650.5,8655.0,5793,0.0,0.0
2026-08-21 14:00:00+05:30,8658.0,8662.0,8652.0,8662.0,4645,0.0,0.0
2026-08-21 14:15:00+05:30,8662.0,8666.0,8652.0,8660.0,5919,0.0,0.0
2026-08-21 14:30:00+05:30,8662.0,8662.0,8652.5,8654.5,18413,0.0,0.0
2026-08-21 14:45:00+05:30,8654.0,8667.0,8653.5,8655.0,12320,0.0,0.0
2026-08-21 15:00:00+05:30,8655.0,8659.0,8646.0,8648.0,33521,0.0,0.0
2026-08-21 15:15:00+05:30,8648.0,8693.0,8648.0,8693.0,6471,0.0,0.0
