Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-08-21 09:15:00+05:30,1592.9000244140625,1598.0,1592.199951171875,1594.0,40576,0.0,0.0
2026-08-21 09:30:00+05:30,1594.0,1596.300048828125,1588.5999755859375,1593.199951171875,70384,0.0,0.0
2026-08-21 09:45:00+05:30,1592.800048828125,1600.800048828125,1590.9000244140625,1599.0999755859375,35508,0.0,0.0
2026-08-21 10:00:00+05:30,1598.0999755859375,1599.5,1596.0,1597.300048828125,20812,0.0,0.0
2026-08-21 10:15:00+05:30,1597.199951171875,1600.800048828125,1595.9000244140625,1599.9000244140625,28849,0.0,0.0
2026-08-21 10:30:00+05:30,1600.0,1601.5,1596.0999755859375,1596.800048828125,25190,0.0,0.0
2026-08-21 10:45:00+05:30,1596.699951171875,1598.5,1595.699951171875,1597.5,22104,0.0,0.0
2026-08-21 11:00:00+05:30,1598.0,1599.300048828125,1595.4000244140625,1598.300048828125,21764,0.0,0.0
2026-08-21 11:15:00+05:30,1598.199951171875,1601.800048828125,1597.699951171875,1598.5,32859,0.0,0.0
2026-08-21 11:30:00+05:30,1598.5,1598.5,1592.5999755859375,1593.800048828125,35848,0.0,0.0
2026-08-21 11:45:00+05:30,1594.300048828125,1594.5999755859375,1589.800048828125,1589.9000244140625,121343,0.0,0.0
2026-08-21 12:00:00+05:30,1589.9000244140625,1593.0,1588.0,1588.0,124501,0.0,0.0
2026-08-21 12:15:00+05:30,1588.0999755859375,1589.5999755859375,1586.699951171875,1588.9000244140625,61812,0.0,0.0
2026-08-21 12:30:00+05:30,1588.9000244140625,1589.9000244140625,1586.5999755859375,1587.0,25815,0.0,0.0
2026-08-21 12:45:00+05:30,1587.199951171875,1588.9000244140625,1586.199951171875,1588.699951171875,14507,0.0,0.0
2026-08-21 13:00:00+05:30,1588.699951171875,1588.699951171875,1586.5999755859375,1587.0,38551,0.0,0.0
2026-08-21 13:15:00+05:30,1587.0,1588.5999755859375,1585.5999755859375,1586.0,65348,0.0,0.0
2026-08-21 13:30:00+05:30,1586.0,1587.199951171875,1585.5999755859375,1585.699951171875,51974,0.0,0.0
2026-08-21 13:45:00+05:30,1585.5999755859375,1585.5999755859375,1581.800048828125,1581.800048828125,64656,0.0,0.0
2026-08-21 14:00:00+05:30,1581.699951171875,1582.0,1578.300048828125,1579.9000244140625,34055,0.0,0.0
2026-08-21 14:15:00+05:30,1579.4000244140625,1580.5,1579.0,1580.0999755859375,39007,0.0,0.0
2026-08-21 14:30:00+05:30,1580.0999755859375,1580.300048828125,1577.9000244140625,1579.4000244140625,37860,0.0,0.0
2026-08-21 14:45:00+05:30,1578.9000244140625,1580.0,1578.199951171875,1579.300048828125,65205,0.0,0.0
2026-08-21 15:00:00+05:30,1578.800048828125,1579.800048828125,1576.800048828125,1578.0,144407,0.0,0.0
2026-08-21 15:15:00+05:30,1577.0,1584.0,1577.0,1584.0,52053,0.0,0.0
2026-08-24 09:15:00+05:30,1583.0,1597.0999755859375,1583.0,1590.0999755859375,44909,0.0,0.0
2026-08-24 09:30:00+05:30,1590.300048828125,1595.5,1590.300048828125,1593.699951171875,65097,0.0,0.0
2026-08-24 09:45:00+05:30,1594.4000244140625,1594.4000244140625,1588.5,1592.0999755859375,59501,0.0,0.0
2026-08-24 10:00:00+05:30,1592.4000244140625,1594.5,1591.0999755859375,1593.300048828125,51757,0.0,0.0
2026-08-24 10:15:00+05:30,1593.300048828125,1593.300048828125,1587.199951171875,1589.699951171875,54308,0.0,0.0
2026-08-24 10:30:00+05:30,1590.300048828125,1597.300048828125,1588.9000244140625,1596.9000244140625,66109,0.0,0.0
