Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-08-27 00:00:00+05:30,1486.7043729990971,1494.8822025235036,1471.034234680266,1491.3564453125,3965066,0.0,0.0
2024-08-28 00:00:00+05:30,1496.4491531781878,1532.2456722824425,1490.279108109249,1524.263671875,6225319,0.0,0.0
2024-08-29 00:00:00+05:30,1532.7354741280556,1539.2972970264957,1514.0781670208744,1533.616943359375,8036748,0.0,0.0
2024-08-30 00:00:00+05:30,1543.5085470341537,1575.240599449903,1529.4053993434138,1556.28955078125,37820442,0.0,0.0
2024-09-02 00:00:00+05:30,1571.9106266778504,1571.9106266778504,1533.2249757409188,1538.954345703125,4890314,0.0,0.0
2024-09-03 00:00:00+05:30,1546.4468310879597,1546.4468310879597,1526.4673801004715,1528.4261474609375,4546295,0.0,0.0
2024-09-04 00:00:00+05:30,1525.8797206896243,1533.7147898587623,1510.2095823513482,1529.6993408203125,5213811,0.0,0.0
2024-09-05 00:00:00+05:30,1526.8591433049655,1530.7766779895196,1509.7199290600413,1515.3023681640625,5652812,0.0,0.0
2024-09-06 00:00:00+05:30,1520.7870543536687,1523.529256976365,1498.6528871318862,1507.516357421875,5497805,0.0,0.0
2024-09-09 00:00:00+05:30,1491.8461249392576,1514.861640406891,1491.8461249392576,1510.84619140625,3912508,0.0,0.0
2024-09-10 00:00:00+05:30,1513.2946377345995,1553.302435054624,1513.2946377345995,1545.3204345703125,6163457,0.0,0.0
2024-09-11 00:00:00+05:30,1545.90798806897,1565.9364543236159,1541.990453688051,1545.271484375,5994914,0.0,0.0
2024-09-12 00:00:00+05:30,1563.2431410168394,1618.7252452985024,1557.3178224761496,1612.7999267578125,12204496,0.0,0.0
2024-09-13 00:00:00+05:30,1616.9623870768355,1620.782007177514,1597.4237313112744,1600.7535400390625,5609618,0.0,0.0
2024-09-16 00:00:00+05:30,1600.7535265260701,1618.8721236843983,1596.4932316455206,1601.73291015625,3762063,0.0,0.0
2024-09-17 00:00:00+05:30,1615.9829651769596,1631.7021200233282,1604.7200536014839,1627.49072265625,4223072,0.0,0.0
2024-09-18 00:00:00+05:30,1621.0757257767227,1636.5010178466666,1613.877280054815,1620.781982421875,3171195,0.0,0.0
2024-09-19 00:00:00+05:30,1613.7302810479948,1676.4108303273815,1613.7302810479948,1630.5267333984375,8498240,0.0,0.0
2024-09-20 00:00:00+05:30,1636.5500772464218,1687.869804357462,1631.6531590021177,1676.4599609375,21646275,0.0,0.0
2024-09-23 00:00:00+05:30,1683.560492607718,1718.0837662344907,1683.560492607718,1714.362060546875,5001827,0.0,0.0
2024-09-24 00:00:00+05:30,1715.8800465057552,1731.1095091235463,1710.1016594247126,1720.4342041015625,7579205,0.0,0.0
2024-09-25 00:00:00+05:30,1719.3570687227157,1730.4730495895321,1709.0245230683695,1724.1070556640625,4017103,0.0,0.0
2024-09-26 00:00:00+05:30,1733.5090056407637,1742.3234582118184,1710.1507302382015,1734.5863037109375,7417423,0.0,0.0
2024-09-27 00:00:00+05:30,1719.014146607,1727.0940617756617,1686.9883488508633,1698.8388671875,7116861,0.0,0.0
2024-09-30 00:00:00+05:30,1678.6635070934378,1697.2717956784875,1669.0654998965256,1674.3052978515625,6907288,0.0,0.0
2024-10-01 00:00:00+05:30,1669.849119882148,1687.3310940886556,1661.0346670499255,1663.678955078125,3649090,0.0,0.0
2024-10-03 00:00:00+05:30,1630.6737191643795,1660.0552276177916,1630.6737191643795,1638.949462890625,7200276,0.0,0.0
2024-10-04 00:00:00+05:30,1635.6197364369107,1651.9263788050805,1596.5423043193828,1607.0706787109375,8576527,0.0,0.0
2024-10-07 00:00:00+05:30,1616.9623093920654,1635.570597628558,1608.5885318641795,1627.7845458984375,5387707,0.0,0.0
2024-10-08 00:00:00+05:30,1628.3232687656362,1644.8748767291975,1617.941825755662,1623.2794189453125,5224335,0.0,0.0
2024-10-09 00:00:00+05:30,1632.3876817078933,1669.4573285652077,1626.8052427822563,1643.503662109375,3414614,0.0,0.0
2024-10-10 00:00:00+05:30,1651.8284230480383,1663.9237870893628,1630.6737603381684,1643.503662109375,5047657,0.0,0.0
2024-10-11 00:00:00+05:30,1643.5037444187114,1655.4032801494823,1624.454779491234,1652.612060546875,2367678,0.0,0.0
2024-10-14 00:00:00+05:30,1651.2408849161884,1674.7951102478792,1644.7279595317334,1660.6429443359375,2069815,0.0,0.0
2024-10-15 00:00:00+05:30,1672.7872589373453,1697.0270040536798,1664.9031728053133,1681.8465576171875,5891334,0.0,0.0
2024-10-16 00:00:00+05:30,1684.539795014516,1706.3310801535117,1681.6995586587009,1698.2021484375,3299887,0.0,0.0
