Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-08-27 00:00:00+05:30,417.44124573161963,424.30804278144944,415.95920580594526,423.0235900878906,11895337,0.0,0.0
2024-08-28 00:00:00+05:30,424.8514489306291,429.0011728182653,423.468217685477,426.23468017578125,18213329,0.0,0.0
2024-08-29 00:00:00+05:30,426.2347054807108,427.9143629045156,419.61494478869866,425.7406921386719,9942257,0.0,0.0
2024-08-30 00:00:00+05:30,427.22271033807255,432.16284350607106,426.18529443366486,429.4457702636719,12866589,0.0,0.0
2024-09-02 00:00:00+05:30,430.63141764520617,431.5206355919487,424.35744244245444,428.0131530761719,9400824,0.0,0.0
2024-09-03 00:00:00+05:30,428.3095568506001,429.4457814784758,426.1358861390442,428.7541809082031,9712479,0.0,0.0
2024-09-04 00:00:00+05:30,424.5550652433177,424.5550652433177,414.62537928027655,415.86041259765625,14761838,0.0,0.0
2024-09-05 00:00:00+05:30,416.05802998930926,418.923301255194,414.1313659533247,415.86041259765625,8167304,0.0,0.0
2024-09-06 00:00:00+05:30,414.9711905280463,416.2556131045229,409.38884601923604,412.0071105957031,10236248,0.0,0.0
2024-09-09 00:00:00+05:30,412.00712563710965,414.13137696907097,406.3753614991831,412.8469543457031,6590372,0.0,0.0
2024-09-10 00:00:00+05:30,417.3424462534279,441.7961055669356,415.46520166989774,440.0176696777344,39706164,0.0,0.0
2024-09-11 00:00:00+05:30,440.5610806139185,443.6239692830572,427.6179253683196,430.4338073730469,20189436,0.0,0.0
2024-09-12 00:00:00+05:30,433.29906208546674,438.09099722229814,430.8784149580798,434.6329040527344,8729441,0.0,0.0
2024-09-13 00:00:00+05:30,440.6598863486125,444.21678832266963,435.76914236526125,436.5101623535156,13341086,0.0,0.0
2024-09-16 00:00:00+05:30,438.1898239452059,446.4892418632246,435.2257439636149,438.0416259765625,8850620,0.0,0.0
2024-09-17 00:00:00+05:30,438.0416137925555,445.5012028112008,434.28709449566264,439.7706604003906,10744634,0.0,0.0
2024-09-18 00:00:00+05:30,440.1658790693538,441.7467277631143,432.70628981266475,435.3245544433594,7014739,0.0,0.0
2024-09-19 00:00:00+05:30,437.3994059509559,445.20481038298124,425.6418648034787,434.3365173339844,12721422,0.0,0.0
2024-09-20 00:00:00+05:30,436.5101625884505,441.1538999115495,434.08951538349163,438.83203125,11837310,0.0,0.0
2024-09-23 00:00:00+05:30,439.6224747504563,454.4922639334951,439.1778506922578,449.00872802734375,26480471,0.0,0.0
2024-09-24 00:00:00+05:30,450.0955181442062,468.57162814127605,447.92187765478496,463.1374816894531,40263592,0.0,0.0
2024-09-25 00:00:00+05:30,463.1375116119677,465.26176296812486,454.8874827080168,462.49530029296875,15948993,0.0,0.0
2024-09-26 00:00:00+05:30,464.37254819251694,472.1285638044667,459.9758173242895,470.35009765625,20074440,0.0,0.0
2024-09-27 00:00:00+05:30,476.72287065877237,488.92500612472327,471.78273728407004,479.68695068359375,32121777,0.0,0.0
2024-09-30 00:00:00+05:30,479.58814845730757,483.1450505655269,467.6824389244898,476.8216857910156,15756520,0.0,0.0
2024-10-01 00:00:00+05:30,480.97139018141604,485.3187318254833,473.65999856067555,475.48785400390625,15141589,0.0,0.0
2024-10-03 00:00:00+05:30,463.43386677903607,472.2273276808138,458.9383577894406,466.15093994140625,14971905,0.0,0.0
2024-10-04 00:00:00+05:30,465.85458810359194,468.76927892354337,455.0851031259071,461.0626525878906,13337665,0.0,0.0
2024-10-07 00:00:00+05:30,462.2976584308233,463.28568506997965,433.44729865876576,436.0161437988281,19893771,0.0,0.0
2024-10-08 00:00:00+05:30,436.31258623926897,455.4309084541276,434.3365328868739,451.42938232421875,20651560,0.0,0.0
2024-10-09 00:00:00+05:30,454.4428743216047,464.7677348271538,447.18087234026865,455.33209228515625,16274750,0.0,0.0
2024-10-10 00:00:00+05:30,454.4922406443289,472.177910934618,450.7377515868344,460.0745849609375,20626505,0.0,0.0
2024-10-11 00:00:00+05:30,460.0745988838901,461.75425623275606,453.8500431127848,455.62847900390625,8006885,0.0,0.0
2024-10-14 00:00:00+05:30,458.2467494516748,459.2347761043539,452.8620222858823,456.76470947265625,8552461,0.0,0.0
2024-10-15 00:00:00+05:30,457.95037841796875,468.7198634873292,455.52970092640754,457.95037841796875,11987910,0.0,0.0
2024-10-16 00:00:00+05:30,457.70332154451484,463.8784877822984,451.8245512252734,454.9368591308594,8574770,0.0,0.0
2024-10-17 00:00:00+05:30,455.4803076215175,457.0611563682108,443.6239872495908,444.80963134765625,10204584,0.0,0.0
2024-10-18 00:00:00+05:30,444.51318506606106,451.03416700500327,437.7451964639179,448.1194763183594,11045862,0.0,0.0
2024-10-21 00:00:00+05:30,450.09553224819103,459.97579883383617,444.26618099309655,448.3664855957031,13387706,0.0,0.0
2024-10-22 00:00:00+05:30,448.36650021726217,448.66292631580666,428.8035838005962,430.6314392089844,12887529,0.0,0.0
2024-10-23 00:00:00+05:30,431.2736150409474,437.84398596359813,425.2466466926426,432.4592590332031,11696327,0.0,0.0
2024-10-24 00:00:00+05:30,431.86645830763274,435.9667629085175,426.8769055926688,432.75567626953125,7751620,0.0,0.0
2024-10-25 00:00:00+05:30,432.75566858040776,433.8425039154978,409.5370425264361,417.0460510253906,16754459,0.0,0.0
2024-10-28 00:00:00+05:30,418.4292955694385,424.3574556011189,410.03106885789134,420.60296630859375,8791214,0.0,0.0
2024-10-29 00:00:00+05:30,422.87539379979506,423.4187963804884,410.27805438169366,420.3065185546875,9520732,0.0,0.0
2024-10-30 00:00:00+05:30,420.94875273479266,428.1119461270437,416.79905879196974,421.88739013671875,9699786,0.0,0.0
2024-10-31 00:00:00+05:30,425.34548520835386,439.4742546538215,415.7616143634603,434.7811279296875,29693039,0.0,0.0
2024-11-01 00:00:00+05:30,438.68383488486904,443.08056556114144,436.8065902705276,440.1164855957031,4387971,0.0,0.0
2024-11-04 00:00:00+05:30,440.90691302650026,441.45031564834926,420.9487617093019,423.912841796875,13264369,0.0,0.0
2024-11-05 00:00:00+05:30,423.86343232834355,429.64339425416614,420.75115441510997,428.9023742675781,8889823,0.0,0.0
2024-11-06 00:00:00+05:30,431.8664424262453,446.588033060869,431.2736204227198,443.92034912109375,12638381,0.0,0.0
2024-11-07 00:00:00+05:30,446.0940411289707,449.3051278037639,437.69581444104983,439.57305908203125,9820442,0.0,0.0
2024-11-08 00:00:00+05:30,441.4503051667958,441.4503051667958,424.8514691313727,427.56854248046875,9328678,0.0,0.0
2024-11-11 00:00:00+05:30,426.7781201435959,432.5086626072748,422.92479211741227,426.33349609375,8278229,0.0,0.0
2024-11-12 00:00:00+05:30,426.87689380667507,431.1254264107256,407.56098523403114,409.19122314453125,11039936,0.0,0.0
2024-11-13 00:00:00+05:30,408.0550087456721,411.2167061043317,392.19719298483005,394.5684509277344,13327466,0.0,0.0
2024-11-14 00:00:00+05:30,397.13733871344687,406.9187968797029,395.70468795709905,399.80499267578125,11063591,0.0,0.0
2024-11-18 00:00:00+05:30,403.11487654595624,405.9801478243026,392.8394053311033,399.8544006347656,10703937,0.0,0.0
2024-11-19 00:00:00+05:30,401.38582873918284,412.79752454769533,401.38582873918284,403.21368408203125,8869625,0.0,0.0
2024-11-21 00:00:00+05:30,406.5729802418401,408.4502249099688,392.64179797468466,403.1642761230469,13362385,0.0,0.0
2024-11-22 00:00:00+05:30,409.9322451083952,411.908298379732,404.34990064730454,408.7960205078125,11165181,0.0,0.0
2024-11-25 00:00:00+05:30,416.40382898944983,418.3798822196246,405.0909121858275,407.41278076171875,20232580,0.0,0.0
2024-11-26 00:00:00+05:30,408.94420034515736,410.4262402329645,403.1148494835515,405.3872985839844,7286324,0.0,0.0
2024-11-27 00:00:00+05:30,406.86936060249445,413.48915118897264,404.3499047170539,412.6493225097656,7869397,0.0,0.0
2024-11-28 00:00:00+05:30,413.3409569905655,415.95922159487145,407.1657903991927,409.53704833984375,9850477,0.0,0.0
2024-11-29 00:00:00+05:30,409.53703849577187,412.501118388383,405.5355427016188,409.19122314453125,8478659,0.0,0.0
2024-12-02 00:00:00+05:30,408.0550290917148,413.8843806197315,407.0670023868923,411.51312255859375,8156409,0.0,0.0
2024-12-03 00:00:00+05:30,413.39032863820324,424.7526346819158,412.5999194090776,423.4187927246094,14366296,0.0,0.0
2024-12-04 00:00:00+05:30,423.4187990204398,426.8275029451095,419.21968585489185,420.55352783203125,6195150,0.0,0.0
2024-12-05 00:00:00+05:30,420.5535335871313,428.1119313581152,414.47717577721016,425.6912841796875,10798097,0.0,0.0
2024-12-06 00:00:00+05:30,428.605951852457,437.20179583136974,428.06254925184396,434.4353332519531,17372298,0.0,0.0
2024-12-09 00:00:00+05:30,437.695807774501,442.33954510973024,433.8425098538749,435.4727478027344,13417161,0.0,0.0
2024-12-10 00:00:00+05:30,436.6583764575739,437.34997699977157,426.876888804826,429.98919677734375,9854285,0.0,0.0
2024-12-11 00:00:00+05:30,430.38440301276114,433.3484828817854,429.09995031154284,429.5939636230469,5815604,0.0,0.0
2024-12-12 00:00:00+05:30,429.79159847636646,431.52064513690357,423.8634384973821,428.35894775390625,6049186,0.0,0.0
2024-12-13 00:00:00+05:30,426.82752045129973,427.22272508794805,415.2675963782046,423.3200378417969,8032224,0.0,0.0
